PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
BCPH;FUT ON BANCO COMERCIAL PORT.;SINGLE STOCK FUTURES;BCPH=A GR Equity;0#BCPF3:
BCVG;FUT ON BANQUE CANTONALE VAUDOI;SINGLE STOCK FUTURES;BCVG=A GR Equity;0#BCVN2:
BCVN;OPT ON BANQUE CANTON. VAUDOISE;SINGLE STOCK OPTIONS;BCVN SW Equity;0#BCVN*.EX
BDEF;FUT ON BARRATT DEVELOPMENTS;SINGLE STOCK FUTURES;BDEF=A GR Equity;0#BDEF:
BDSG;FUT ON BANCO SABADELL;SINGLE STOCK FUTURES;BDSG=A GR Equity;0#SABE2:
BDSP;FUT ON Banco de Sabadell SA;SINGLE STOCK FUTURES;BDSP=A GR Equity;0#BDSP:
BDT;OPT ON Bertrandt AG;SINGLE STOCK OPTIONS;BDT GR Equity;0#BDTG*.EX
BDTF;FUT ON BERTRANDT AG;SINGLE STOCK FUTURES;BDTF=A GR Equity;0#BDTG:
BDXF;FUT ON BECTON, DICKINSON;SINGLE STOCK FUTURES;BDXF=A GR Equity;0#BDXF:
BEFF;FUT ON BEFIMMO;SINGLE STOCK FUTURES;BEFF=A GR Equity;0#BEFB:
BEI;OPT ON BEIERSDORF AG;SINGLE STOCK OPTIONS;BEI GR Equity ;0#BEIG*.EX
BEIG;FUT ON BEIERSDORF;SINGLE STOCK FUTURES;BEIG=A GR Equity;0#BEIG2:
BEKB;OPTION ON BEKAERT N.V.;SINGLE STOCK OPTIONS;BEKB BB Equity;0#BEKB*.EX
BEKF;FUT ON BEKAERT N.V.;SINGLE STOCK FUTURES;BEKF=A GR Equity;0#BEKB:
BG1;OPT ON BAWAG Group AG;SINGLE STOCK OPTIONS;BG AV Equity;0#BAWG*.EX
BGPA;OPT ON BAM;SINGLE STOCK OPTIONS;BAMNB NA Equity;0#BAMN*.EX
BGPG;FUT ON BAM GROEP N.V.;SINGLE STOCK FUTURES;BGPG=A GR Equity;0#BAMN2:
BHWF;FUT ON BANK HANDLOWY;SINGLE STOCK FUTURES;BHWF=A GR Equity;0#BHWF:
BIF;OPTION ON  SOCIETE BIC SA;SINGLE STOCK OPTIONS;BB FP Equity;0#BICP*.EX
BIFI;FUT ON SOCIETE BIC S.A.;SINGLE STOCK FUTURES;BIFI=A GR Equity;0#BICP4:
BIHF;FUT ON BALFOUR BEATTY;SINGLE STOCK FUTURES;BIHF=A GR Equity;0#BIHF:
BIM;OPTION ON BIOMERIEUX;SINGLE STOCK OPTIONS;BIM FP Equity;0#BIOX*.EX
BIMF;FUT ON BIOMERIEUX;SINGLE STOCK FUTURES;BIMF=A GR Equity;0#BIOX:
BIO;OPT ON BB BIOTECH;SINGLE STOCK OPTIONS;BION SW Equity;0#BION*.EX
BIOH;FUT ON BB BIOTECH;SINGLE STOCK FUTURES;BIOH=A GR Equity;0#BIOF3:
BIR;OPT ON BANK OF IRELAND GROUP;SINGLE STOCK OPTIONS;BIRG ID Equity;0#BKIR*.EX
BIRF;FUT ON BANK OF IRELAND GROUP;SINGLE STOCK FUTURES;BIRF=A GR Equity;0#BKIR:
BKAF;FUT ON BROOKFIELD AM;SINGLE STOCK FUTURES;BKAF=A GR Equity;0#BAMa:
BKW;OPTION ON BKW AG;SINGLE STOCK OPTIONS;BKW SW Equity;0#BKWB*.EX
BLNF;FUT ON THE BRITISH LAND CO PLC;SINGLE STOCK FUTURES;BLNF=A GR Equity;0#BLNF:
BLT;OPT ON BHP BILLITON PLC;SINGLE STOCK OPTIONS;BLT LN Equity ;0#BLT*.EX
BLTG;FUT ON BHP BILLITON PLC;SINGLE STOCK FUTURES;BLTG=A GR Equity;0#BLTF2:
BM3F;FUT ON BMW VZ.;SINGLE STOCK FUTURES;BM3F=A GR Equity;0#BMWG_p:
BMEG;FUT ON BOLSAS Y MERCADOS ESPAN;SINGLE STOCK FUTURES;BMEG=A GR Equity;0#BMEF2:
BMOF;FUT ON BANK OF MONTREAL;SINGLE STOCK FUTURES;BMOF=A GR Equity;0#BMO:
BMTF;FUT ON BRITISH AMERICAN TOBACO;SINGLE STOCK FUTURES;BMTF=A GR Equity;0#BMTF:
BMW;OPT ON BMW AG -ST-;SINGLE STOCK OPTIONS;BMW GR Equity ;0#BMWG*.EX
BMWE;OPT E ON BMW AG;SINGLE STOCK OPTIONS;BMW GR Equity;0#BMWE*.EX
BMWF;FUT ON BMW AG;SINGLE STOCK FUTURES;BMW=A GR Equity;0#BMWG:
BMYF;FUT ON BRISTOL-MYERS SQUIBB CO;SINGLE STOCK FUTURES;BMYF=A GR Equity;0#BMYF:
BNP;OPT ON BNP PARIBAS;SINGLE STOCK OPTIONS;BNP GR Equity ;0#BNPP*.EX
BNP1;1ST FRIDAY OPT ON BNP PARIBAS;SINGLE STOCK OPTIONS;BNP GR Equity;0#BNPP1W*.EX
BNP2;2ND FRIDAY OPT ON BNP PARIBAS;SINGLE STOCK OPTIONS;BNP GR Equity;0#BNPP2W*.EX
BNP4;4TH FRIDAY OPT ON BNP PARIBAS;SINGLE STOCK OPTIONS;BNP GR Equity;0#BNPP4W*.EX
BNP5;5TH FRIDAY OPT ON BNP PARIBAS;SINGLE STOCK OPTIONS;BNP GR Equity;0#BNPP5W*.EX
BNPH;FUT ON BNP PARIBAS;SINGLE STOCK FUTURES;BNPH=A GR Equity;0#BNPP3:
BNR;OPT ON BRENNTAG;SINGLE STOCK OPTIONS;BNR GR Equity;0#BNRGn*.EX
BNRG;FUT ON Brenntag AG;SINGLE STOCK FUTURES;BNRG=A GR Equity;0#BNRGn2:
BNSF;FUT ON BANK OF NOVA SCOTIA;SINGLE STOCK FUTURES;BNSF=A GR Equity;0#BNS:
BNZF;FUT ON BUNZL PLC;SINGLE STOCK FUTURES;BNZF=A GR Equity;0#BNZF:
BOPF;FUT ON Bollore S.A. ;SINGLE STOCK FUTURES;BOPF=A GR Equity;0#BOLL:
BOSF;FUT ON HUGO BOSS AG;SINGLE STOCK FUTURES;BOSF=A GR Equity;0#BOSSn:
BOSS;OPT ON HUGO BOSS AG;SINGLE STOCK OPTIONS;BOSS GR Equity;0#BOSSn*.EX
BPD;OPT ON UBI BANCA;SINGLE STOCK OPTIONS;UBI IM Equity;0#UBI*.EX
BPDI;FUT ON UNI. DI BANCHE ITALIAN;SINGLE STOCK FUTURES;BPDI=A GR Equity;0#BPDF4:
BPE;OPT ON BPER BANCA;SINGLE STOCK OPTIONS;BPE IM Equity;0#EMII*.EX
BPEF;FUT ON BPER BANCA;SINGLE STOCK FUTURES;BPEF=A GR Equity;0#EMII:
BPF;FUT ON BP PLC;SINGLE STOCK FUTURES;BPF=A GR Equity;0#BPF:
BPO;OPT ON bpost S.A.;SINGLE STOCK OPTIONS;13B GR Equity;0#BPOST*.EX
BPOF;FUT ON bpost S.A. ;SINGLE STOCK FUTURES;BPOF=A GR Equity;0#BPOST:
BPS;OPT ON BANCA POP. DI SONDRIO;SINGLE STOCK OPTIONS;BPSO IM Equity;0#BPSI*.EX
BPSF;FUT ON BCA POPOLARE DI SONDRIO;SINGLE STOCK FUTURES;BPSF=A GR Equity;0#BPSI:
BPT;OPTION ON BP;SINGLE STOCK OPTIONS;BP/ LN Equity;0#BP*.EX
BPV;OPT ON BANCO BPM;SINGLE STOCK OPTIONS;BAMI IM Equity;0#BAPO*.EX
BPVJ;FUT ON BANCO BPM;SINGLE STOCK FUTURES;BPVJ=A GR Equity;0#BAPO5:
BRBF;FUT ON BURBERRY GROUP PLC;SINGLE STOCK FUTURES;BRBF=A GR Equity;0#BRBF:
BRBY;OPT ON BURBERRY GROUP PLC;SINGLE STOCK OPTIONS;BRBY LN Equity;0#BRBY*.EX
BREF;FUT ON MBANK S.A.;SINGLE STOCK FUTURES;BREF=A GR Equity;0#BREF:
BSD2;OPT ON BANCO SANTANDER SA;SINGLE STOCK OPTIONS;BSD2 GR Equity ;0#SAN*.EX
BSLN;OPTION ON BASILEA;SINGLE STOCK OPTIONS;BSLN SE Equity;0#BSLN*.EX
BSN;OPT ON DANONE;SINGLE STOCK OPTIONS;BSN GR Equity ;0#DANO*.EX
BSN1;1ST FRIDAY OPT ON DANONE;SINGLE STOCK OPTIONS;BSN GR Equity;0#DANO1W*.EX
BSN2;2ND FRIDAY OPT ON DANONE;SINGLE STOCK OPTIONS;BSN GR Equity;0#DANO2W*.EX
BSN4;4TH FRIDAY OPT ON DANONE;SINGLE STOCK OPTIONS;BSN GR Equity;0#DANO4W*.EX
BSN5;5TH FRIDAY OPT ON DANONE;SINGLE STOCK OPTIONS;BSN GR Equity;0#DANO5W*.EX
BSNH;FUT ON DANONE;SINGLE STOCK FUTURES;BSNH=A GR Equity;0#DANO3:
BSR1;1ST FRIDAY OPT ON BANCO SANT;SINGLE STOCK OPTIONS;BSD2 GR Equity;0#SAN1W*.EX
BSR2;2ND FRIDAY OPT ON BANCO SANT;SINGLE STOCK OPTIONS;BSD2 GR Equity;0#SAN2W*.EX
BSR4;4TH FRIDAY OPT ON BANCO SANT;SINGLE STOCK OPTIONS;BSD2 GR Equity;0#SAN4W*.EX
BSR5;5TH FRIDAY OPT ON BANCO SANT;SINGLE STOCK OPTIONS;BSD2 GR Equity;0#SAN5W*.EX
BTAF;FUT ON BT GROUP PLC;SINGLE STOCK FUTURES;BTAF=A GR Equity;0#BTAF:
BTG;OPTION ON BT GROUP;SINGLE STOCK OPTIONS;BT/A LN Equity;0#BT*.EX
BUCF;FUT ON Bucher Industries;SINGLE STOCK FUTURES;BUCF=A GR Equity;0#BUCN:
BVFF;FUT ON BAUSCH HEALTH COMPANIES;SINGLE STOCK FUTURES;BVFF=A GR Equity;0#VRX:
BVI;OPTION ON BUREAU VERITAS S.A.;SINGLE STOCK OPTIONS;BVI FP Equity;0#BVI*.EX
BWW1;1ST FRIDAY OPT ON BMW;SINGLE STOCK OPTIONS;BMW GR Equity;0#BMWG1W*.EX
BWW2;2ND FRIDAY OPT ON BMW;SINGLE STOCK OPTIONS;BMW GR Equity;0#BMWG2W*.EX
BWW4;4TH FRIDAY OPT ON BMW;SINGLE STOCK OPTIONS;BMW GR Equity;0#BMWG4W*.EX
BWW5;5TH FRIDAY OPT ON BMW;SINGLE STOCK OPTIONS;BMW GR Equity;0#BMWG5W*.EX
BX7;OPT ON PROXIMUS SA;SINGLE STOCK OPTIONS;PROX BB Equity;0#BCOM*.EX
BX7G;FUT ON PROXIMUS SA;SINGLE STOCK FUTURES;BX7G=A GR Equity;0#BCOM2:
BYG;OPT ON BOUYGUES;SINGLE STOCK OPTIONS;BYG GR Equity ;0#BOUY*.EX
BYGG;FUT ON BOUYGUES;SINGLE STOCK FUTURES;BYGG=A GR Equity;0#BYGF2:
BYW6;OPT ON BAYWA AG;SINGLE STOCK OPTIONS;BYW6 GR Equity;0#BYWGnx*.EX
BYWF;FUT ON BAYWA AG;SINGLE STOCK FUTURES;BYWF=A GR Equity;0#BYWGnx:
C1CG;FUT ON CARGOTEC CORP;SINGLE STOCK FUTURES;C1CG=A GR Equity;0#C1CF2:
C2EC;FUT ON CECONOMY AG DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;C2EC=A GR Equity;0#M3EO:
C2FR;COMPAGNIE FINAN.RICH. DIV.FUT;SINGLE STOCK DIVIDEND FUTURES;C2FR=A GR Equity;0#C2FR:
C2IT;Citigroup Inc Div. Futures;SINGLE STOCK DIVIDEND FUTURES;C2IT=A GR Equity;0#C2IT:
C2NA;FUT ON CENTRICA DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;C2NA=A GR Equity;0#C2NA:
C2ON;FUT ON CONTINENTAL AG DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;C2ON=A GR Equity;0#C2ON:
C2RG;CRH DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;C2RG=A GR Equity;0#C2RG:
C2SC;Cisco Systems Div Futures;SINGLE STOCK DIVIDEND FUTURES;C2SC=A GR Equity;0#C2SC:
C2VX;Chevron Div.Futures;SINGLE STOCK DIVIDEND FUTURES;C2VX=A GR Equity;0#C2VX:
C3AR;CARREFOUR DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;C3AR=A GR Equity;0#C3AR:
C3RI;UNICREDIT DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;C3RI=A GR Equity;0#C3RI:
C3SG;CREDIT SUI. GR. AG  N. DIV.FUT;SINGLE STOCK DIVIDEND FUTURES;C3SG=A GR Equity;0#C3SG:
C4RI;FUT ON UNICREDIT DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;C4RI=A GR Equity;0#C4RI:
C4SG;FUT ON CREDIT SUISSE -N. DIVID;SINGLE STOCK DIVIDEND FUTURES;C4SG=A GR Equity;0#C4SG:
C5SG;FUT ON CREDIT SUISSE - N. DIV.;SINGLE STOCK DIVIDEND FUTURES;C5SG=A GR Equity;0#C5SG:
CAI;OPT ON CA IMMOBILIEN ANLAGEN A;SINGLE STOCK OPTIONS;CAI AV Equity;0#CAIV*.EX
CAIF;FUT ON CA IMMO;SINGLE STOCK FUTURES;CAIF=A GR Equity;0#CAIV:
CAJ;OPT ON CASINO GUICHARD;SINGLE STOCK OPTIONS;CAJ GR Equity ;0#CASP*.EX
CAJG;FUT ON CASINO GUICHARD;SINGLE STOCK FUTURES;CAJG=A GR Equity;0#CASP2:
CALN;OPT ON CALIDA HLDG;SINGLE STOCK OPTIONS;C7U GR Equity;0#CALN*.EX
CAOF;FUT ON CONAGRA BRANDS;SINGLE STOCK FUTURES;CAOF=A GR Equity;0#CAOF:
CAR;OPT ON CARREFOUR;SINGLE STOCK OPTIONS;CA FP Equity;0#CARR*.EX
CAR1;1ST FRIDAY OPT ON CARREFOUR;SINGLE STOCK OPTIONS;CAR GR Equity;0#CARR1W*.EX
CAR2;2ND FRIDAY OPT ON CARREFOUR;SINGLE STOCK OPTIONS;CAR GR Equity;0#CARR2W*.EX
CAR4;4TH FRIDAY OPT ON CARREFOUR;SINGLE STOCK OPTIONS;CAR GR Equity;0#CARR4W*.EX
CAR5;5TH FRIDAY OPT ON CARREFOUR;SINGLE STOCK OPTIONS;CAR GR Equity;0#CARR5W*.EX
CARG;FUT ON CARREFOUR;SINGLE STOCK FUTURES;CARG=A GR Equity;0#CARR2:
CASH;FUT ON CATTOLICA DI ASSICURAZI;SINGLE STOCK FUTURES;CASH=A GR Equity;0#CASS3:
CATF;FUT ON CATERPILLAR INC;SINGLE STOCK FUTURES;CATF=A GR Equity;0#CATF:
CBK;OPT ON COMMERZBANK AG;SINGLE STOCK OPTIONS;CBK GR Equity ;0#CBKG*.EX
CBK1;1ST FRIDAY OPT ON COMMERZBANK ;SINGLE STOCK OPTIONS;CBK GR Equity;0#CBKG1W*.EX
CBK2;2ND FRIDAY OPT COMMERZBANK;SINGLE STOCK OPTIONS;CBK GR Equity;0#CBKG2W*.EX
CBK4;4TH FRIDAY OPT COMMERZBANK;SINGLE STOCK OPTIONS;CBK GR Equity;0#CBKG4W*.EX
CBK5;5TH FRIDAY OPT COMMERZBANK;SINGLE STOCK OPTIONS;CBK GR Equity;0#CBKG5W*.EX
CBKE;OPT E ON COMMERZBANK;SINGLE STOCK OPTIONS;CBK GR Equity;0#CBKE*.EX
CBKH;FUTURE ON COMMERZBANK AG;SINGLE STOCK FUTURES;CBKH=A GR Equity;0#CBKG3:
CBSF;FUT ON CBS Corp;SINGLE STOCK FUTURES;CBSF=A GR Equity;0#CBSF:
CCJF;FUT ON CAMECO CORP;SINGLE STOCK FUTURES;CCJF=A GR Equity;0#CCO:
CCLF;FUT ON CARNIVAL PLC;SINGLE STOCK FUTURES;CCLF=A GR Equity;0#CCLF:
CEC;OPT ON CECONOMY AG;SINGLE STOCK OPTIONS;CEC GY Equity;0#CECG*.EX
CECF;FUT ON Ceconomy AG;SINGLE STOCK FUTURES;CECF=A GR Equity;0#CECG:
CEEG;FUT ON COCA-COLA EUROPEAN PART;SINGLE STOCK FUTURES;CEEG=A GR Equity;0#CEEF2:
CFR;OPT ON CFR A SHARES;SINGLE STOCK OPTIONS;CFR SW Equity;0#CFR*.EX
CFRI;FUT ON CFR A SHARES;SINGLE STOCK FUTURES;CFRI=A GR Equity;0#CFR4:
CGE;OPT ON NOKIA CORP.;SINGLE STOCK OPTIONS;NOKIA FH Equity;0#ALUA*.EX
CGM;OPT ON CAPGEMINI SA;SINGLE STOCK OPTIONS;CGM GR Equity ;0#CAPP*.EX
CGMF;FUT ON CAPGEMINI SA;SINGLE STOCK FUTURES;CGMF=A GR Equity;0#CAPP:
CH1F;FUT ON C.H. ROB. WORLDW INC.;SINGLE STOCK FUTURES;CH1F=A GR Equity;0#CH1F:
CITG;FUT ON CITIGROUP INC;SINGLE STOCK FUTURES;CITG=A GR Equity;0#CITF2:
CL6;OPT ON KLEPIERRE;SINGLE STOCK OPTIONS;LI FP Equity;0#COR*.EX
CLFF;FUT ON COLGATE-PALMOLIVE CO.;SINGLE STOCK FUTURES;CLFF=A GR Equity;0#CLFF:
CLHF;FUT ON Cardinal Health;SINGLE STOCK FUTURES;CLHF=A GR Equity;0#CLHFF:
CLN;OPT ON CLARIANT AG;SINGLE STOCK OPTIONS;CLN SW Equity;0#CLN*.EX
CLNF;FUT ON CLARIANT AG;SINGLE STOCK FUTURES;CLNF=A GR Equity;0#CLN:
CLNP;FUT ON Cellnex Telecom SA;SINGLE STOCK FUTURES;CLNP=A GR Equity;0#CLNP:
CMAI;FUT ON MAPFRE S.A.;SINGLE STOCK FUTURES;CMAI=A GR Equity;0#MAP4:
CMAP;FUT ON Mapfre SA;SINGLE STOCK FUTURES;CMAP=A GR Equity;0#CMAP:
CMCF;FUT ON COMCAST CORP;SINGLE STOCK FUTURES;CMCF=A GR Equity;0#CMCF:
CNAF;FUT ON CENTRICA PLC;SINGLE STOCK FUTURES;CNAF=A GR Equity;0#CNAG:
CNEF;FUT ON CAIRN ENERGY PLC;SINGLE STOCK FUTURES;CNEF=A GR Equity;0#CNEF:
CNQF;FUT ON CDN NATURL RES;SINGLE STOCK FUTURES;CNQF=A GR Equity;0#CNQ:
COBF;FUT ON COBHAM PLC;SINGLE STOCK FUTURES;COBF=A GR Equity;0#COBF:
COF;OPTION ON COFINIMMO S.A.;SINGLE STOCK OPTIONS;COFB BB Equity;0#COFB*.EX
COFF;FUT ON COFINIMMO S.A.;SINGLE STOCK FUTURES;COFF=A GR Equity;0#COFB:
COG;OPT ON COMPUGROUP MEDICAL SE;SINGLE STOCK OPTIONS;COP GR Equity;0#COPMa*.EX
COGF;FUT ON COMPUGROUP MEDICAL SE;SINGLE STOCK FUTURES;COGF=A GR Equity;0#COPMa:
COK;OPT ON CANCOM AG;SINGLE STOCK OPTIONS;COK GR Equity;0#COKG*.EX
COKF;FUT ON CANCOM SE;SINGLE STOCK FUTURES;COKF=A GR Equity;0#COKF:
COLP;FUT ON Inmobiliaria Col. SA;SINGLE STOCK FUTURES;COLP=A GR Equity;0#COLP:
CON;OPT ON CONTINENTAL AG;SINGLE STOCK OPTIONS;CON GR Equity ;0#CONG*.EX
CONF;FUT 8-13 Y. SWISS GOV.BONDS 6%;FIXED INCOME FUTURES;FBA Comdty;0#CONF:
CONH;FUT ON CONTINENTAL AG;SINGLE STOCK FUTURES;CONH=A GR Equity;0#CONG2:
COSF;FUT ON COSTCO WHOLESALE CORP;SINGLE STOCK FUTURES;COSF=A GR Equity;0#COSF:
CPG;OPTION ON COMPASS GROUP;SINGLE STOCK OPTIONS;CPG LN Equity ;0#CPG*.EX
CPGH;FUT ON COMPASS GROUP PLC;SINGLE STOCK FUTURES;CPGH=A GR Equity;0#CPGF3:
CPIF;FUT ON CAPITA PLC;SINGLE STOCK FUTURES;CPIF=A GR Equity;0#CPIF:
CPRF;FUT ON Carpetright ;SINGLE STOCK FUTURES;CPRF=A GR Equity;0#CPRF:
CPWF;FUT ON CARPHONE WAREHOUSE GRP;SINGLE STOCK FUTURES;CPWF=A GR Equity;0#CPWF:
CR5J;FUT ON UNICREDIT S.p.A.;SINGLE STOCK FUTURES;CR5J=A GR Equity;0#CRDI5:
CRG;OPT ON CRH PLC;SINGLE STOCK OPTIONS;CRH ID Equity ;0#CRH*.EX
CRGG;FUT ON CRH PLC;SINGLE STOCK FUTURES;CRGG=A GR Equity;0#CRH2:
CRI5;OPT ON UNICREDIT SPA;SINGLE STOCK OPTIONS;UCG IM Equity;0#CRDI*.EX
CRQF;FUT ON XTRACKER HAR CSI300 ETF;EXTF-FUTURES;CRQF=A GR Equity;0#RQFI:
CRTG;FUT ON CAIXABANK;SINGLE STOCK FUTURES;CRTG=A GR Equity;0#CRIT2:
CRTP;FUT ON CaixaBank SA;SINGLE STOCK FUTURES;CRTP=A GR Equity;0#CRTP:
CSCF;FUT ON CISCO SYSTEMS;SINGLE STOCK FUTURES;CSCF=A GR Equity;0#CSCF:
CSF;OPT ON THALES;SINGLE STOCK OPTIONS;CSF GR Equity ;0#TCFP*.EX
CSFF;FUT ON THALES;SINGLE STOCK FUTURES;CSFF=A GR Equity;0#TCFP:
CSG1;1ST FRI OPT ON CREDIT SUISSE;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGN1W*.EX
CSG2;2ND FRI OPT ON CREDIT SUISSE;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGN2W*.EX
CSG4;4TH FRI OPT ON CREDIT SUISSE;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGN4W*.EX
CSG5;5TH FRI OPT ON CREDIT SUISSE;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGN5W*.EX
CSGE;OPT E ON CS GROUP NAMEN;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGE*.EX
CSGI;FUT ON CREDIT SUISSE ;SINGLE STOCK FUTURES;CSGI=A GR Equity;0#CSGN4:
CSGJ;FUT ON CS GROUP NAMEN;SINGLE STOCK FUTURES;CSGJ=A GR Equity;0#CSGF4:
CSGN;OPT ON CREDIT SUISSE GROUP;SINGLE STOCK OPTIONS;CSGN SW Equity;0#CSGN*.EX
CSMG;FUT ON CORBION N.V.;SINGLE STOCK FUTURES;CSMG=A GR Equity;0#CSMF2:
CSPF;FUT ON Campbell Soup;SINGLE STOCK FUTURES;CSPF=A GR Equity;0#CSPF:
CSPX;OPT ON ISHARES CORE S&P 500;EXTF-OPTIONS;IVV US Equity;0#CSP1*.EX
CSUA;OPTION ON CORBION N.V.;SINGLE STOCK OPTIONS;CRBN NA Equity;0#CSMNc*.EX
CTN;OPT ON CENTROT. INTL. AG;SINGLE STOCK OPTIONS;CTNK GR Equity;0#CTNG*.EX
CTR;OPTION ON CENTRICA;SINGLE STOCK OPTIONS;CNA LN Equity;0#CNA*.EX
CUA;OPTION ON AVIVA;SINGLE STOCK OPTIONS;AV/ LN Equity;0#AV*.EX
CVSF;FUT ON CVS HEALTH CORP.;SINGLE STOCK FUTURES;CVSF=A GR Equity;0#CVSF:
CVXF;FUT ON CHEVRON CORP.;SINGLE STOCK FUTURES;CVXF=A GR Equity;0#CVXF:
CXDF;FUT ON CENOVUS ENERGY INC;SINGLE STOCK FUTURES;CXDF=A GR Equity;0#CVE:
D2AI;DAIMLER DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;D2AI=A GR Equity;0#D2AI:
D2BK;DEUTSCHE BANK DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;D2BK=A GR Equity;0#D2BK:
D2GE;DIAGEO PLC DIVIDEND FUTURES;SINGLE STOCK DIVIDEND FUTURES;D2GE=A GR Equity;0#D2GE:
D2PW;DEUTSCHE POST AG DIV. FUTURE;SINGLE STOCK DIVIDEND FUTURES;D2PW=A GR Equity;0#D2PW:
D2SM;FUT ON DSM NV DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;D2SM=A GR Equity;0#D2SM:
D2TE;DEUTSCHE TELEKOM DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;D2TE=A GR Equity;0#D2TE:
D3B1;DEUTSCHE BOERSE DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;D3B1=A GR Equity;0#D3B1:
D3BK;FUT ON DEUTSCHE BANK DIV.;SINGLE STOCK DIVIDEND FUTURES;D3BK=A GR Equity;0#D3BK:
D4BK;FUT ON DEUTSCHE BANK DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;D4BK=A GR Equity;0#D4BK:
D9FF;FUT ON DRAX GROUP PLC;SINGLE STOCK FUTURES;D9FF=A GR Equity;0#D9FF:
DA0F;FUT ON Danieli & C. RNC;SINGLE STOCK FUTURES;DA0F=A GR Equity;0#DANIn:
DAI;OPT ON DAIMLER AG;SINGLE STOCK OPTIONS;DAI GR Equity;0#DAIGn*.EX
DAI1;1ST FRIDAY OPT ON DAIMLER;SINGLE STOCK OPTIONS;DAI GR Equity;0#DAIGn1W*.EX
DAI2;2NDFRIDAY OPT ON DAIMLER;SINGLE STOCK OPTIONS;DAI GY Equity;0#DAIGn2W*.EX
DAI4;4TH FRIDAY OPT ON DAIMLER;SINGLE STOCK OPTIONS;DAI GR Equity;0#DAIGn4W*.EX
DAI5;5TH FRIDAY OPT ON DAIMLER;SINGLE STOCK OPTIONS;DAI GR Equity;0#DAIGn5W*.EX
DAIE;OPT E ON DAIMLER;SINGLE STOCK OPTIONS;DAI GR Equity;0#DAIE*.EX
DAIF;FUT ON DAIMLER AG;SINGLE STOCK FUTURES;DCX=A GR Equity;0#DCXGn:
DASF;FUT ON  Danieli & C. SpA;SINGLE STOCK FUTURES;DASF=A GR Equity;0#DANI:
DB1;OPT ON DT. BOERSE AG;SINGLE STOCK OPTIONS;DB1 GR Equity ;0#DB1Gn*.EX
DB1E;OPT E ON DEUTSCHE BOERSE;SINGLE STOCK OPTIONS;DB1 GR Equity;0#DB1E*.EX
DB1H;FUT ON DT. BOERSE AG;SINGLE STOCK FUTURES;DB1H=A GR Equity;0#DB1Gn3:
DBK;OPT ON DEUTSCHE BANK AG;SINGLE STOCK OPTIONS;DBK GR Equity ;0#DBKGn*.EX
DBKE;OPT E ON DEUTSCHE BANK;SINGLE STOCK OPTIONS;DBK GR Equity;0#DBKE*.EX
DBKI;FUT ON DEUTSCHE BANK AG;SINGLE STOCK FUTURES;DBKI=A GR Equity;0#DBKGn4:
DBVF;FUT ON DBV technologies  ;SINGLE STOCK FUTURES;DBVF=A GR Equity;0#DBV:
DBW1;1ST FRI. OPT ON DEUTSCHE BANK;SINGLE STOCK OPTIONS;DBK GR Equity;0#DBKGn1W*.EX
DBW2;2NDFRI OPT ON DEUTSCHE BANK;SINGLE STOCK OPTIONS;DBK GR Equity;0#DBKGn2W*.EX
DBW4;4TH FRI OPT ON DEUTSCHE BANK;SINGLE STOCK OPTIONS;DBK GR Equity;0#DBKGn4W*.EX
DBW5;5TH FRI OPT ON DEUTSCHE BANK;SINGLE STOCK OPTIONS;DBK GR Equity;0#DBKGn5W*.EX
DBX1;OPT ON XTRACKERS MSCI EM;EXTF-OPTIONS;XMEM GR Equity ;0#XMEM*.EX
DBXA;OPT ON XTRACKERS MSCI EUROPE;EXTF-OPTIONS;XMEU GR Equity ;0#XMEU*.EX
DBXW;OPT ON XTRACKERS MSCI WORLD;EXTF-OPTIONS;XMWO GR Equity ;0#XMWO*.EX
DCS;OPTION ON JC DECAUX;SINGLE STOCK OPTIONS;DEC FP Equity;0#JCDX*.EX
DCSG;FUT ON JC DECAUX SA;SINGLE STOCK FUTURES;DCSG=A GR Equity;0#JCDX2:
DEFF;FUT ON DEERE & CO.;SINGLE STOCK FUTURES;DEFF=A GR Equity;0#DEFF:
DEQ;OPT ON DEUTSCHE EUROSHOP AG;SINGLE STOCK OPTIONS;DEQ GR Equity;0#DEQGn*.EX
